time,inning,,pitcher,batter,outcome,x,y,vs,ve,sz_top,sz_bot,pfx_x,pfx_z,px,pz,x0,y0,z0,pitchtype
2014-03-30 21:27:27 -0500,8,Bottom,Brian Wilson,Seth Smith,B,139.91,164.92,89.4,82.9,3.48,1.57,-4.562,5.673,-1.306,1.505,-1.969,50,5.365,FF
2014-03-30 21:27:47 -0500,8,Bottom,Brian Wilson,Seth Smith,B,167.38,156.29,90.7,83.4,3.48,1.57,-6.567,5.767,-2.053,2.162,-1.869,50,5.401,FT
2014-03-30 21:28:30 -0500,8,Bottom,Brian Wilson,Seth Smith,X,115.88,150.24,86.9,79.8,3.48,1.57,1.45,2.304,-0.218,2.362,-2.038,50,5.336,SL
2014-03-30 21:29:06 -0500,8,Bottom,Brian Wilson,Yasmani Grandal,B,111.59,179.6,86.6,81.4,3.26,1.46,1.012,4.19,-0.448,0.906,-2.016,50,5.33,SL
2014-03-30 21:29:22 -0500,8,Bottom,Brian Wilson,Yasmani Grandal,S,126.18,156.29,90.9,85,3.26,1.46,-1.571,6.678,-0.998,2.198,-1.77,50,5.317,SL
2014-03-30 21:29:40 -0500,8,Bottom,Brian Wilson,Yasmani Grandal,S,132.19,157.15,91,84.3,3.26,1.46,-6.925,4.298,-1.036,1.943,-1.645,50,5.296,FT
2014-03-30 21:30:08 -0500,8,Bottom,Brian Wilson,Yasmani Grandal,B,128.76,189.96,91.6,85.1,3.26,1.46,-3.158,6.214,-0.829,0.402,-1.923,50,5.104,FF
2014-03-30 21:30:30 -0500,8,Bottom,Brian Wilson,Yasmani Grandal,B,138.2,166.65,88.1,83,3.26,1.46,1.842,3.019,-1.045,1.598,-2.243,50,5.164,SL
2014-03-30 21:30:59 -0500,8,Bottom,Brian Wilson,Yasmani Grandal,B,138.2,170.96,87.9,82.1,3.26,1.46,4.077,0.903,-1.271,1.232,-1.982,50,5.237,SL
2014-03-30 21:31:40 -0500,8,Bottom,Brian Wilson,Everth Cabrera,B,139.91,152.83,89.3,83.4,3.34,1.55,-1.448,2.874,-1.244,2.087,-2.208,50,5.06,SL
2014-03-30 21:32:16 -0500,8,Bottom,Brian Wilson,Everth Cabrera,B,139.91,152.83,89.5,83.2,3.34,1.55,-1.796,3.608,-1.295,2.205,-2.099,50,5.208,SL
2014-03-30 21:33:47 -0500,8,Bottom,Brian Wilson,Everth Cabrera,X,103.86,151.1,86.1,80.1,3.34,1.55,0.978,1.155,-0.141,1.893,-2.026,50,5.345,SL
2014-03-30 21:34:05 -0500,8,Bottom,Brian Wilson,Chris Denorfia,S,93.56,139.88,87.2,80.6,3.3,1.5,1.571,1.235,0.301,2.494,-1.871,50,5.385,SL
2014-03-30 21:35:15 -0500,8,Bottom,Brian Wilson,Chris Denorfia,S,74.68,142.47,92.1,84.8,3.3,1.5,-8.052,7.149,0.9,2.725,-1.331,50,5.477,FT
2014-03-30 21:35:42 -0500,8,Bottom,Brian Wilson,Chris Denorfia,B,108.15,107.07,90.8,83.7,3.3,1.5,-2.548,6.177,-0.233,4.268,-1.589,50,5.382,FF
2014-03-30 21:36:04 -0500,8,Bottom,Brian Wilson,Chris Denorfia,B,152.79,152.83,85.3,79.3,3.3,1.5,2.707,-0.451,-1.649,2.185,-2.502,50,5.142,SL
2014-03-30 21:36:24 -0500,8,Bottom,Brian Wilson,Chris Denorfia,B,51.5,159.74,92.2,85.2,3.3,1.5,-10.137,8.023,1.417,1.911,-1.407,50,5.356,FT
2014-03-30 21:37:32 -0500,8,Bottom,Brian Wilson,Chris Denorfia,X,127.04,162.33,88.7,81.9,3.3,1.5,-0.447,4.359,-0.829,2.057,-2.258,50,5.203,SL
2014-03-30 21:37:23 -0500,8,Bottom,Brian Wilson,Chase Headley,S,99.57,176.14,87.8,82,3.38,1.54,0.53,4.867,0.072,1.282,-2.012,50,5.119,SL
2014-03-30 21:38:00 -0500,8,Bottom,Brian Wilson,Chase Headley,B,175.97,162.33,86.3,79.6,3.38,1.54,-1.717,1.653,-2.387,1.62,-2.297,50,5.153,CU
2014-03-30 21:38:25 -0500,8,Bottom,Brian Wilson,Chase Headley,B,59.23,149.38,90.6,83.4,3.38,1.54,-6.537,3.323,1.347,2.104,-1.37,50,5.19,FF
2014-03-30 21:38:50 -0500,8,Bottom,Brian Wilson,Chase Headley,S,137.34,153.69,91.3,84.4,3.38,1.54,-6.667,2.12,-1.178,2.101,-1.759,50,5.209,FT
2014-03-30 21:39:26 -0500,8,Bottom,Brian Wilson,Chase Headley,S,101.29,140.74,91.4,84.5,3.38,1.54,-8.447,2.963,-0.034,2.675,-1.825,50,5.248,FT
2014-03-30 21:40:17 -0500,8,Bottom,Brian Wilson,Chase Headley,S,89.27,120.88,91.7,84.6,3.38,1.54,-2.487,8.467,0.491,3.637,-1.652,50,5.275,FF
2014-03-30 21:41:17 -0500,8,Bottom,Brian Wilson,Chase Headley,X,97,158.88,87.3,81.5,3.38,1.54,2.19,2.335,0.023,1.7,-2.043,50,5.184,SL
