time,inning,,pitcher,batter,outcome,x,y,vs,ve,top,bot,pfx_x,pfx_z,px,pz,x0,y0,z0,vxo,vxo,vxo,break_y,break_angle,break_length,pitchtype,type_conf,pitch_zone,nasty,spind_dir,spin_rate,comments
2014-04-17 17:12:29 -0500,8,Bottom,Brian Wilson,Ehire Adrianza,S,66.09,138.15,90,84.2,3.27,1.58,-1.007,3.771,1.021,2.805,-1.926,50,5.679,8.059,-131.655,-2.679,-1.797,23.42,-25.368,SL,0.877,12,83,194.789,775.694,
2014-04-17 17:13:13 -0500,8,Bottom,Brian Wilson,Ehire Adrianza,B,147.64,144.2,94.8,88,3.27,1.58,-5.283,6.459,-1.4,2.577,-1.721,50,5.527,2.774,-138.969,-4.601,-10.413,28.836,-19.369,FF,0.881,11,34,219.117,1723.006,
2014-04-17 17:13:32 -0500,8,Bottom,Brian Wilson,Ehire Adrianza,B,145.06,139.88,89.9,83.7,3.27,1.58,1.455,3.197,-1.377,2.702,-2.232,50,5.517,1.74,-131.784,-2.298,2.584,25.399,-26.423,SL,0.912,11,19,155.806,694.087,
2014-04-17 17:13:56 -0500,8,Bottom,Brian Wilson,Ehire Adrianza,X,119.31,139.02,93.9,86.8,3.27,1.58,-8.775,4.425,-0.6,2.759,-1.598,50,5.454,5.82,-137.567,-3,-16.891,29.248,-23.582,FT,0.723,1,60,243.038,1998.54,
2014-04-17 17:14:48 -0500,8,Bottom,Brian Wilson,Joaquin Arias,B,42.92,148.51,92.1,86.6,3.44,1.64,0.656,4.634,1.779,2.236,-1.694,50,5.52,9.087,-134.69,-4.448,1.231,23.388,-23.404,SL,0.923,14,54,172.012,953.901,
2014-04-17 17:15:11 -0500,8,Bottom,Brian Wilson,Joaquin Arias,S,100.43,132.11,92.4,86.7,3.44,1.64,1.842,2.836,-0.02,2.978,-1.927,50,5.542,4.492,-135.397,-1.955,3.489,23.896,-26.727,SL,0.924,2,25,147.36,693.113,
2014-04-17 17:15:38 -0500,8,Bottom,Brian Wilson,Joaquin Arias,B,138.2,119.16,90.3,84.3,3.44,1.64,-0.227,2.605,-1.086,3.557,-2.41,50,5.475,3.56,-132.418,0.165,-0.409,24.295,-27.405,SL,0.895,11,62,184.9,524.413,
2014-04-17 17:16:01 -0500,8,Bottom,Brian Wilson,Joaquin Arias,B,56.65,129.52,92.6,86,3.44,1.64,-1.785,3.199,1.312,3.134,-1.619,50,5.588,8.497,-135.511,-1.736,-3.35,26.953,-26.094,SL,0.776,12,27,208.853,743.192,
2014-04-17 17:16:25 -0500,8,Bottom,Brian Wilson,Joaquin Arias,S,82.4,136.43,91,85.2,3.44,1.64,0.821,3.526,0.574,2.871,-1.916,50,5.483,6.32,-133.369,-2.089,1.502,24.257,-25.644,SL,0.921,3,41,167.048,728.879,
2014-04-17 17:16:47 -0500,8,Bottom,Brian Wilson,Joaquin Arias,X,118.45,131.24,90,83.5,3.44,1.64,1.131,2.537,-0.535,3.128,-2.065,50,5.343,3.615,-132.012,-0.509,2.009,26.365,-27.593,SL,0.914,1,43,156.322,549.727,
2014-04-17 17:17:36 -0500,8,Bottom,Brian Wilson,Hunter Pence,S,91.85,157.15,96.4,88.7,3.41,1.67,-5.334,8.037,0.279,2.057,-1.581,50,5.469,7.105,-140.984,-6.637,-10.741,31.936,-15.917,FF,0.927,9,76,213.452,2005.069,
2014-04-17 17:18:00 -0500,8,Bottom,Brian Wilson,Hunter Pence,B,175.97,132.11,90.7,84.3,3.41,1.67,-2.76,2.713,-2.262,3.096,-2.517,50,5.376,1.618,-132.971,-0.846,-4.986,26.084,-27.199,SL,0.469,11,25,225.062,768.482,
2014-04-17 17:18:24 -0500,8,Bottom,Brian Wilson,Hunter Pence,S,53.22,153.69,92.2,85.6,3.41,1.67,-2.915,3.202,1.434,2.105,-1.622,50,5.491,9.171,-134.85,-4.144,-5.406,27.341,-26.161,FF,0.702,14,29,221.956,869.915,
2014-04-17 17:18:53 -0500,8,Bottom,Brian Wilson,Hunter Pence,S,102.15,119.16,95,87.6,3.41,1.67,-6.525,7.041,-0.087,3.621,-1.666,50,5.424,6.679,-139.213,-1.646,-12.841,30.458,-18.244,FF,0.911,11,56,222.67,1974.381,
2014-04-17 17:19:19 -0500,8,Bottom,Brian Wilson,Hunter Pence,B,152.79,164.92,91.8,86.2,3.41,1.67,-1.627,3.633,-1.577,1.655,-2.306,50,5.24,2.519,-134.553,-4.87,-3.04,24.003,-25.313,SL,0.859,13,33,203.896,809.134,
2014-04-17 17:19:43 -0500,8,Bottom,Brian Wilson,Hunter Pence,B,53.22,172.69,91.9,86.1,3.41,1.67,-0.564,5.337,1.481,1.281,-1.675,50,5.421,8.624,-134.366,-6.9,-1.048,24.761,-22.187,SL,0.902,14,34,185.989,1084.241,
2014-04-17 17:20:06 -0500,8,Bottom,Brian Wilson,Hunter Pence,B,145.06,169.24,91.5,85.2,3.41,1.67,-0.106,2.373,-1.35,1.494,-2.254,50,5.135,2.436,-134.062,-4.453,-0.194,26.479,-27.742,SL,0.907,13,35,182.505,480.078,"Brian Wilson is having trouble locating his slider, missing the strike zone with his last three."
2014-04-17 17:20:58 -0500,8,Bottom,Brian Wilson,Pablo Sandoval,S,117.6,133.84,92.3,85.9,3.2,1.53,0.038,2.879,-0.566,2.962,-2.022,50,5.499,3.894,-135.302,-1.832,0.071,26.518,-26.705,SL,0.915,1,80,179.258,586.466,
2014-04-17 17:21:23 -0500,8,Bottom,Brian Wilson,Pablo Sandoval,S,129.61,163.19,94.8,87.6,3.2,1.53,-1.818,6.347,-0.839,1.698,-1.638,50,5.444,2.84,-138.899,-6.697,-3.559,30.501,-19.673,SL,0.735,13,61,195.89,1357.598,
2014-04-17 17:21:49 -0500,8,Bottom,Brian Wilson,Pablo Sandoval,S,97,120.02,96.4,88.9,3.2,1.53,-4.828,6.38,0.135,3.545,-1.864,50,5.259,7.332,-141.182,-1.353,-9.783,30.942,-19.172,FF,0.936,12,63,216.958,1672.046,
2014-04-17 17:22:19 -0500,8,Bottom,Brian Wilson,Pablo Sandoval,B,140.77,170.96,93,86.5,3.2,1.53,1.157,3.01,-1.161,1.447,-2.029,50,5.28,1.937,-136.278,-5.454,2.192,27.922,-26.399,SL,0.922,13,64,159.216,657.59,
2014-04-17 17:22:43 -0500,8,Bottom,Brian Wilson,Pablo Sandoval,S,128.76,144.2,91.4,85.7,3.2,1.53,1.305,4.001,-0.859,2.489,-2.217,50,5.294,3.168,-134.035,-2.848,2.417,24.071,-24.689,SL,0.92,11,47,162.106,851.361,
2014-04-17 17:23:11 -0500,8,Bottom,Brian Wilson,Pablo Sandoval,S,121.03,109.66,95.5,88.5,3.2,1.53,-5.338,4.789,-0.664,4.037,-2.015,50,5.338,5.674,-140.004,0.449,-10.686,29.097,-22.514,FF,0.912,11,57,227.886,1492.716,Brian Wilson is taking a chance challenging Pablo Sandoval in a location where he is hitting .556 for the season compared to .177 overall.
2014-04-17 17:24:22 -0500,8,Bottom,Brian Wilson,Buster Posey,B,70.39,162.33,92.1,86.1,3.44,1.58,-2.316,4.347,0.891,1.67,-1.586,50,5.383,7.438,-134.795,-5.459,-4.322,25.38,-23.987,SL,0.634,14,93,207.829,996.405,
2014-04-17 17:24:39 -0500,8,Bottom,Brian Wilson,Buster Posey,B,64.38,132.97,92.1,86.2,3.44,1.58,-0.182,3.96,1.101,3.013,-1.589,50,5.519,7.277,-134.922,-2.121,-0.341,24.688,-24.677,SL,0.914,12,54,182.602,806.967,
2014-04-17 17:25:12 -0500,8,Bottom,Brian Wilson,Buster Posey,S,72.96,130.38,91.9,84.9,3.44,1.58,-0.114,5.465,0.774,3.168,-1.716,50,5.61,6.661,-134.598,-2.349,-0.209,28.638,-22.053,SL,0.903,12,54,181.181,1091.138,
2014-04-17 17:25:37 -0500,8,Bottom,Brian Wilson,Buster Posey,B,90.13,117.43,95,87.3,3.44,1.58,-10.406,4.274,0.313,3.672,-1.329,50,5.607,8.222,-139.125,-0.995,-20.391,31.286,-23.724,FT,0.739,12,72,247.49,2301.7,
2014-04-17 17:26:01 -0500,8,Bottom,Brian Wilson,Buster Posey,X,103.86,132.97,94.7,87.3,3.44,1.58,-4.045,7.911,-0.083,2.988,-1.42,50,5.51,5.106,-138.758,-3.876,-7.898,30.652,-16.656,FF,0.926,2,46,206.973,1820.536,
