"Pitcher","Date","ERA"
"Brian Wilson",2014-03-22,0
"Brian Wilson",2014-03-30,18
"Brian Wilson",2014-04-17,9
"Brian Wilson",2014-04-19,10.12
"Brian Wilson",2014-04-22,7.36
"Brian Wilson",2014-04-24,15.75
"Brian Wilson",2014-04-26,18
"Brian Wilson",2014-04-27,14.4
"Brian Wilson",2014-04-30,12
"Brian Wilson",2014-05-01,10.29
"Brian Wilson",2014-05-03,12.91
"Brian Wilson",2014-05-05,11.42
"Brian Wilson",2014-05-07,10.24
"Brian Wilson",2014-05-10,9.28
"Brian Wilson",2014-05-12,10.32
"Brian Wilson",2014-05-14,10.22
"Brian Wilson",2014-05-16,9.45
"Brian Wilson",2014-05-20,8.79
"Brian Wilson",2014-05-21,8.22
"Brian Wilson",2014-05-23,7.71
"Brian Wilson",2014-05-26,7.56
"Brian Wilson",2014-05-28,7.13
"Brian Wilson",2014-05-30,6.75
"Brian Wilson",2014-06-04,6.41
"Brian Wilson",2014-06-06,6.1
"Brian Wilson",2014-06-10,5.82
"Brian Wilson",2014-06-13,6.14
"Brian Wilson",2014-06-14,5.87
"Brian Wilson",2014-06-16,5.79
"Brian Wilson",2014-06-17,5.55
"Brian Wilson",2014-06-20,5.33
"Brian Wilson",2014-06-22,5.19
"Brian Wilson",2014-06-25,5
"Brian Wilson",2014-06-26,4.82
"Brian Wilson",2014-06-30,4.66
"Brian Wilson",2014-07-02,5.52
"Brian Wilson",2014-07-06,5.64
"Kenley Jansen",2014-03-22,0
"Kenley Jansen",2014-03-23,6.75
"Kenley Jansen",2014-04-01,3.86
"Kenley Jansen",2014-04-05,3
"Kenley Jansen",2014-04-06,2.25
"Kenley Jansen",2014-04-08,3.6
"Kenley Jansen",2014-04-09,4.76
"Kenley Jansen",2014-04-12,4.5
"Kenley Jansen",2014-04-13,3.86
"Kenley Jansen",2014-04-15,4.5
"Kenley Jansen",2014-04-17,5
"Kenley Jansen",2014-04-19,4.5
"Kenley Jansen",2014-04-20,4.09
"Kenley Jansen",2014-04-22,3.75
"Kenley Jansen",2014-04-23,3.46
"Kenley Jansen",2014-04-26,3.21
"Kenley Jansen",2014-04-30,3.14
"Kenley Jansen",2014-05-01,3.52
"Kenley Jansen",2014-05-06,3.31
"Kenley Jansen",2014-05-08,3.12
"Kenley Jansen",2014-05-11,4.58
"Kenley Jansen",2014-05-12,4.34
"Kenley Jansen",2014-05-20,4.12
"Kenley Jansen",2014-05-21,4.35
"Kenley Jansen",2014-05-23,4.15
"Kenley Jansen",2014-05-26,3.91
"Kenley Jansen",2014-05-27,3.75
"Kenley Jansen",2014-06-02,3.6
"Kenley Jansen",2014-06-09,3.46
"Kenley Jansen",2014-06-13,3.67
"Kenley Jansen",2014-06-14,3.86
"Kenley Jansen",2014-06-17,3.72
"Kenley Jansen",2014-06-20,4.55
"Kenley Jansen",2014-06-21,4.4
"Kenley Jansen",2014-06-22,4.26
"Kenley Jansen",2014-06-24,4.13
"Kenley Jansen",2014-06-26,4.01
"Kenley Jansen",2014-06-30,3.89
"Kenley Jansen",2014-07-03,3.79
"Jamey Wright",2014-03-23,13.5
"Jamey Wright",2014-04-02,6.75
"Jamey Wright",2014-04-04,3.86
"Jamey Wright",2014-04-05,3.38
"Jamey Wright",2014-04-09,2.45
"Jamey Wright",2014-04-11,1.59
"Jamey Wright",2014-04-13,4.05
"Jamey Wright",2014-04-15,3.12
"Jamey Wright",2014-04-18,2.79
"Jamey Wright",2014-04-20,3.38
"Jamey Wright",2014-04-24,3.18
"Jamey Wright",2014-04-25,3.55
"Jamey Wright",2014-04-27,3.29
"Jamey Wright",2014-05-01,2.7
"Jamey Wright",2014-05-04,2.95
"Jamey Wright",2014-05-06,2.89
"Jamey Wright",2014-05-08,3.26
"Jamey Wright",2014-05-11,3.1
"Jamey Wright",2014-05-13,2.95
"Jamey Wright",2014-05-14,2.82
"Jamey Wright",2014-05-17,3.28
"Jamey Wright",2014-05-22,3.16
"Jamey Wright",2014-05-29,3.04
"Jamey Wright",2014-05-31,2.73
"Jamey Wright",2014-06-04,2.64
"Jamey Wright",2014-06-10,2.56
"Jamey Wright",2014-06-15,2.51
"Jamey Wright",2014-06-16,2.43
"Jamey Wright",2014-06-23,2.34
"Jamey Wright",2014-06-25,2.17
"Jamey Wright",2014-06-29,2.11
"Jamey Wright",2014-07-01,2.52
"Jamey Wright",2014-07-04,2.45
"Jamey Wright",2014-07-05,2.41
"Brandon League",2014-04-04,0
"Brandon League",2014-04-09,0
"Brandon League",2014-04-12,5.79
"Brandon League",2014-04-15,6.75
"Brandon League",2014-04-16,5.68
"Brandon League",2014-04-18,4.5
"Brandon League",2014-04-21,3.6
"Brandon League",2014-04-25,3.38
"Brandon League",2014-04-27,2.84
"Brandon League",2014-05-01,2.51
"Brandon League",2014-05-03,2.2
"Brandon League",2014-05-05,1.96
"Brandon League",2014-05-09,1.74
"Brandon League",2014-05-13,1.66
"Brandon League",2014-05-14,1.59
"Brandon League",2014-05-17,1.52
"Brandon League",2014-05-18,1.4
"Brandon League",2014-05-21,1.35
"Brandon League",2014-05-23,1.35
"Brandon League",2014-05-28,1.32
"Brandon League",2014-05-29,2.25
"Brandon League",2014-06-01,2.17
"Brandon League",2014-06-04,2.1
"Brandon League",2014-06-06,2.03
"Brandon League",2014-06-07,1.97
"Brandon League",2014-06-09,1.91
"Brandon League",2014-06-12,2.38
"Brandon League",2014-06-16,2.31
"Brandon League",2014-06-17,2.27
"Brandon League",2014-06-20,2.23
"Brandon League",2014-06-21,2.21
"Brandon League",2014-06-25,2.17
"Brandon League",2014-06-27,2.11
"Brandon League",2014-06-29,2.06
"Brandon League",2014-07-05,2.01
"J.P. Howell",2014-03-23,0
"J.P. Howell",2014-04-01,0
"J.P. Howell",2014-04-02,0
"J.P. Howell",2014-04-05,0
"J.P. Howell",2014-04-06,0
"J.P. Howell",2014-04-08,0
"J.P. Howell",2014-04-09,0
"J.P. Howell",2014-04-13,0
"J.P. Howell",2014-04-15,0
"J.P. Howell",2014-04-16,1.23
"J.P. Howell",2014-04-20,1.12
"J.P. Howell",2014-04-22,1
"J.P. Howell",2014-04-23,0.9
"J.P. Howell",2014-04-25,2.7
"J.P. Howell",2014-04-30,2.53
"J.P. Howell",2014-05-01,2.38
"J.P. Howell",2014-05-03,2.31
"J.P. Howell",2014-05-04,2.13
"J.P. Howell",2014-05-08,2.77
"J.P. Howell",2014-05-09,2.57
"J.P. Howell",2014-05-11,2.45
"J.P. Howell",2014-05-12,2.4
"J.P. Howell",2014-05-20,2.2
"J.P. Howell",2014-05-23,2.08
"J.P. Howell",2014-05-27,2.04
"J.P. Howell",2014-05-28,2
"J.P. Howell",2014-05-30,1.89
"J.P. Howell",2014-06-01,1.8
"J.P. Howell",2014-06-07,1.71
"J.P. Howell",2014-06-09,1.59
"J.P. Howell",2014-06-12,1.52
"J.P. Howell",2014-06-13,1.48
"J.P. Howell",2014-06-14,1.44
"J.P. Howell",2014-06-16,1.4
"J.P. Howell",2014-06-17,1.73
"J.P. Howell",2014-06-20,1.69
"J.P. Howell",2014-06-22,1.61
"J.P. Howell",2014-06-25,1.59
"J.P. Howell",2014-07-02,1.55
"J.P. Howell",2014-07-05,1.5
"J.P. Howell",2014-07-06,1.47
"Chris Perez",2014-03-22,0
"Chris Perez",2014-03-30,0
"Chris Perez",2014-04-02,0
"Chris Perez",2014-04-05,0
"Chris Perez",2014-04-06,0
"Chris Perez",2014-04-08,0
"Chris Perez",2014-04-13,0
"Chris Perez",2014-04-15,0
"Chris Perez",2014-04-16,0
"Chris Perez",2014-04-18,2.16
"Chris Perez",2014-04-20,1.86
"Chris Perez",2014-04-24,1.69
"Chris Perez",2014-04-25,1.54
"Chris Perez",2014-05-01,1.35
"Chris Perez",2014-05-03,1.88
"Chris Perez",2014-05-06,3.6
"Chris Perez",2014-05-10,3.38
"Chris Perez",2014-05-13,3.24
"Chris Perez",2014-05-14,4.24
"Chris Perez",2014-05-17,5.09
"Chris Perez",2014-05-22,5.68
"Chris Perez",2014-05-29,5.4
"Chris Perez",2014-05-30,5.14
"Chris Perez",2014-06-01,5.32
"Chris Perez",2014-06-03,5.09
"Chris Perez",2014-06-06,4.88
"Chris Perez",2014-06-07,5.11
"Chris Perez",2014-06-10,4.97
"Chris Perez",2014-06-15,5.61
"Chris Perez",2014-06-23,5.4
"Chris Perez",2014-06-28,5.2
"Chris Perez",2014-07-01,5.02
"Chris Perez",2014-07-02,4.85
"Chris Perez",2014-07-06,4.65
