"Name","G","SV","HLD","IP","K%","BB%","K-BB%","ERA","FIP","WHIP","WAR","playerid"
"J.P. Howell","59","0","25","42.2","24.6 %","12.6 %","12.0 %","1.27","2.76","0.98","0.6","8245"
"Pedro Baez","9","0","1","11.2","13.3 %","6.7 %","6.7 %","2.31","3.99","0.94","0.0","5420"
"Brandon League","51","0","8","52.0","12.3 %","10.1 %","2.2 %","2.60","3.50","1.48","0.1","3731"
"Kenley Jansen","56","37","0","53.1","38.6 %","6.8 %","31.8 %","2.87","1.76","1.16","1.8","3096"
"Chris Withrow","20","0","6","21.1","31.1 %","20.0 %","11.1 %","2.95","3.79","1.31","-0.1","7161"
"Jamey Wright","50","1","4","60.2","17.7 %","8.2 %","9.4 %","3.86","3.48","1.25","0.1","715"
"Paco Rodriguez","13","0","3","10.1","27.5 %","7.5 %","20.0 %","4.35","1.87","1.26","0.2","13398"
"Paul Maholm","22","0","0","27.0","14.4 %","8.5 %","5.9 %","5.00","3.21","1.52","0.1","8678"
"Chris Perez","42","1","6","39.1","17.3 %","12.1 %","5.2 %","5.03","5.57","1.45","-0.9","5213"
"Brian Wilson","49","1","19","41.0","25.8 %","13.9 %","11.9 %","5.05","4.16","1.73","-0.2","6485"
"Carlos Frias","7","0","0","13.1","16.4 %","3.6 %","12.7 %","6.08","4.18","1.13","-0.1","3547"
"Drew Butera","2","0","0","1.2","28.6 %","0.0 %","28.6 %","10.80","8.53","1.20","-0.1","3411"
"Jose Dominguez","5","0","0","6.1","26.7 %","10.0 %","16.7 %","11.37","6.60","1.58","-0.1","11571"
